Deal_id,Deal_created_at,Deal_Value,Deal_Stage,Deal _Status,Deal_Email_messages_count,Deal_Total_activities,Deal_Currency,Deal_Region
Adlud_deal_d001,15/01/2019 19:44,1800000,IO Sent,Won,0,0,USD,UK & EUROPE
Adlud_deal_d002,04/03/2020 21:53,1768000,RFP,Won,0,0,USD,US
Adlud_deal_d003,26/11/2020 18:04,1077525,Contacted,Lost,0,0,GBP,UK & EUROPE
Adlud_deal_d004,09/10/2020 01:24,750000,RFP,Lost,0,0,USD,US
Adlud_deal_d005,03/09/2019 06:26,705882.35,Contacted,Won,0,3,HKD,APAC & RESELLERS
Adlud_deal_d006,12/02/2020 17:41,515000,RFP,Lost,0,2,USD,US
Adlud_deal_d007,06/12/2019 15:09,500000,Contacted,Deleted,0,1,USD,US
Adlud_deal_d008,23/09/2019 19:17,500000,RFP,Lost,0,0,USD,US
Adlud_deal_d009,21/10/2020 11:20,500000,Contacted,Lost,0,0,USD,APAC & RESELLERS
Adlud_deal_d010,12/09/2019 22:12,500000,RFP,Lost,0,0,USD,US
Adlud_deal_d011,12/09/2019 22:13,500000,RFP,Lost,0,0,USD,US
Adlud_deal_d012,12/09/2019 22:14,500000,RFP,Lost,0,0,USD,US
Adlud_deal_d013,12/09/2019 22:11,500000,RFP,Lost,10,0,USD,US
Adlud_deal_d014,05/06/2020 10:51,400000,IO Sent,Deleted,3,0,GBP,UK & EUROPE
Adlud_deal_d015,20/04/2020 14:33,400000,Contacted,Lost,0,0,USD,UK & EUROPE
Adlud_deal_d016,05/06/2020 10:53,400000,Contacted,Lost,0,0,GBP,UK & EUROPE
Adlud_deal_d017,29/10/2019 18:42,400000,RFP,Lost,0,0,USD,US
Adlud_deal_d018,24/02/2020 18:23,386311.93,RFP,Won,0,0,USD,US
Adlud_deal_d019,05/03/2020 10:15,350000,Contacted,Lost,0,1,HKD,APAC & RESELLERS
Adlud_deal_d020,18/11/2020 18:30,350000,RFP,Lost,0,0,USD,US
Adlud_deal_d021,01/10/2020 23:21,350000,RFP,Won,0,0,USD,US
Adlud_deal_d022,20/02/2019 18:13,300000,IO Sent,Deleted,2,0,USD,US
Adlud_deal_d023,12/04/2019 11:02,300000,Contacted,Lost,0,9,HKD,APAC & RESELLERS
Adlud_deal_d024,25/11/2019 21:37,300000,RFP,Lost,0,0,USD,US
Adlud_deal_d025,20/03/2019 12:41,300000,Contacted,Lost,0,0,GBP,UK & EUROPE
Adlud_deal_d026,07/01/2020 09:06,300000,Contacted,Won,0,0,HKD,APAC & RESELLERS
Adlud_deal_d027,11/12/2020 05:28,300000,Contacted,Won,0,0,HKD,APAC & RESELLERS
Adlud_deal_d028,08/05/2019 20:06,300000,RFP,Lost,0,0,USD,US
Adlud_deal_d029,10/02/2020 06:46,294117,Contacted,Won,0,1,HKD,APAC & RESELLERS
Adlud_deal_d030,08/11/2019 10:21,294117,Contacted,Won,0,0,HKD,APAC & RESELLERS
Adlud_deal_d031,11/10/2019 05:51,294117,Contacted,Won,0,0,HKD,APAC & RESELLERS
Adlud_deal_d032,02/09/2020 05:12,282352,Contacted,Won,0,0,TWD,APAC & RESELLERS
Adlud_deal_d033,23/01/2019 14:56,280000,Contacted,Lost,0,8,HKD,APAC & RESELLERS
Adlud_deal_d034,09/10/2019 12:03,280000,Contacted,Lost,0,3,HKD,APAC & RESELLERS
Adlud_deal_d035,09/10/2019 12:02,280000,IO Sent,Deleted,3,0,HKD,APAC & RESELLERS
Adlud_deal_d036,06/12/2019 14:52,250000,IO Sent,Deleted,4,1,USD,US
Adlud_deal_d037,09/09/2019 16:59,250000,IO Sent,Deleted,2,0,USD,US
Adlud_deal_d038,17/03/2020 06:15,250000,Contacted,Lost,0,1,USD,APAC & RESELLERS
Adlud_deal_d039,22/09/2020 17:49,250000,RFP,Lost,0,0,USD,US
Adlud_deal_d040,23/01/2020 10:47,250000,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d041,08/10/2020 20:53,250000,Contacted,Lost,0,0,EUR,UK & EUROPE
